ip,timestamp,method,uri,status_code,url_length,bytes,response_bytes,decoded_uri,is_suspicious_uri,is_4xx,is_5xx,bytes_normal,bytes_error,request_interval,method_GET,method_HEAD,method_OPTIONS,method_POST
91.99.72.15,1/22/2019 3:56,GET,/product/26350/53953/%D9%BE%DB%8C%D8%A7%D9%86%D9%88-%D8%A2%DA%A9%D9%88%D8%B3%D8%AA%DB%8C%DA%A9-%D8%AF%DB%8C%D9%88%D8%A7%D8%B1%DB%8C-YAMAHA-%D9%85%D8%AF%D9%84-JU109,200,163,40797,40797,/product/26350/53953/پیانو-آکوستیک-دیواری-yamaha-مدل-ju109,0,0,0,40797,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/7793/9663/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-ME201,200,172,40889,40889,/product/7793/9663/مایکروفر-رومیزی-سامسونگ-مدل-me201,0,0,0,40889,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/31893/62100/%D8%B3%D8%B4%D9%88%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR257AT,200,146,41483,41483,/product/31893/62100/سشوار-خانگی-پرنسلی-مدل-pr257at,0,0,0,41483,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/10075/13903/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-CE288,200,174,41725,41725,/product/10075/13903/مایکروفر-رومیزی-سامسونگ-مدل-ce288,0,0,0,41725,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/32798/63266/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%DB%8C%D9%86%D8%AC%D8%B1-%D9%85%D8%AF%D9%84-pearl-SR7,200,142,40250,40250,/product/32798/63266/یخچال-فریزر-سینجر-مدل-pearl-sr7,0,0,0,40250,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/29080,200,14,41308,41308,/product/29080,0,0,0,41308,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/30472/60169/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-Poison-Girl,200,164,42242,42242,/product/30472/60169/عطر-و-ادکلن-زنانه-دیور-مدل-poison-girl,0,0,0,42242,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/14496/25676/%D8%B3%D8%B1-%D8%B4%D9%88%D8%B1-%D8%A2%D8%B1%DB%8C%D8%A7-%D8%B5%D9%86%D8%B9%D8%AA-%D9%85%D8%AF%D9%84-SN-3270,200,129,40134,40134,/product/14496/25676/سر-شور-آریا-صنعت-مدل-sn-3270,0,0,0,40134,#N/A,0,TRUE,FALSE,FALSE,FALSE
2.179.141.98,1/22/2019 3:56,POST,"/ajaxFilter/p65,b1",200,18,5409,5409,"/ajaxfilter/p65,b1",0,0,0,5409,#N/A,0,FALSE,FALSE,FALSE,TRUE
5.78.198.52,1/22/2019 3:56,GET,/m/filter/p62,200,13,19265,19265,/m/filter/p62,0,0,0,19265,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b2,p6",200,15,19451,19451,"/m/filter/b2,p6",0,0,0,19451,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.62.206.249,1/22/2019 3:56,GET,/image/34187,200,12,5603,5603,/image/34187,0,0,0,5603,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,"/m/filter/b105,b113,b118,b126,b135,b136,b152,b168,b180,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b258,b270,b35,b4,b400,b41,b435,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",200,272,26859,26859,"/m/filter/b105,b113,b118,b126,b135,b136,b152,b168,b180,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b258,b270,b35,b4,b400,b41,b435,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",0,0,0,26859,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.66.194,1/22/2019 3:56,GET,/m/product/17369/48780/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1%D8%A8-%D9%87%D8%A7%DB%8C%D8%B3%D9%86%D8%B3-%D9%85%D8%AF%D9%84-RQ-56WC4SAB,200,196,20863,20863,/m/product/17369/48780/یخچال-فریزر-چهار-درب-هایسنس-مدل-rq-56wc4sab,0,0,0,20863,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,GET,/settings/logo,200,14,4120,4120,/settings/logo,0,0,0,4120,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,GET,/image/57737/productModel/200x200,200,33,4361,4361,/image/57737/productmodel/200x200,0,0,0,4361,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.160.157.20,1/22/2019 3:56,GET,/filter,301,7,178,178,/filter,0,0,0,178,#N/A,0,TRUE,FALSE,FALSE,FALSE
17.58.102.43,1/22/2019 3:56,GET,/filter/b571%2Cb288%2Cb70%2Cb57%2Cb6%2Cb355%2Cb485%2Cb87%2Cb551%2Cb148,200,70,37759,37759,"/filter/b571,b288,b70,b57,b6,b355,b485,b87,b551,b148",0,0,0,37759,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,18,171,171,/m/updatevariation,0,0,0,171,#N/A,0,FALSE,FALSE,FALSE,TRUE
66.111.54.249,1/22/2019 3:56,GET,/static/images/guarantees/support.png,200,37,6454,6454,/static/images/guarantees/support.png,0,0,0,6454,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,18,171,171,/m/updatevariation,0,0,0,171,#N/A,0,FALSE,FALSE,FALSE,TRUE
31.56.96.51,1/22/2019 3:56,GET,/settings/logo,200,14,4120,4120,/settings/logo,0,0,0,4120,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/third-party/footer-mobile.png,200,48,62894,62894,/static/images/amp/third-party/footer-mobile.png,0,0,0,62894,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/instagram.png,200,32,7146,7146,/static/images/amp/instagram.png,0,0,0,7146,#N/A,0,TRUE,FALSE,FALSE,FALSE
66.249.64.66,1/22/2019 3:56,GET,/m/browse/washing-machine/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%84%D8%A8%D8%A7%D8%B3%D8%B4%D9%88%DB%8C%DB%8C,200,105,20199,20199,/m/browse/washing-machine/ماشین-لباسشویی,0,0,0,20199,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/static/images/amp/blog.png,200,27,3863,3863,/static/images/amp/blog.png,0,0,0,3863,#N/A,0,TRUE,FALSE,FALSE,FALSE
91.99.72.15,1/22/2019 3:56,GET,/product/21891/46412/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D9%85%D8%A7%D8%B3%D8%A7%DA%98%D9%88%D8%B1-rain-sport-%D9%85%D8%AF%D9%84-RK-2106b,200,133,41561,41561,/product/21891/46412/صندلی-ماساژور-rain-sport-مدل-rk-2106b,0,0,0,41561,#N/A,0,TRUE,FALSE,FALSE,FALSE
