window,total_requests,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,std_response_bytes,error_4xx_ratio,error_5xx_ratio,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval,avg_requests_per_ip,max_requests_per_ip,method_ratio_GET,method_ratio_HEAD,method_ratio_OPTIONS,method_ratio_POST
2019-01-22 04:06:00,340,31,268,72.56470588235294,460,18042.670588235294,18393.55387543294,0.020588235294117647,0.0,0,0.0,7.411764705882353,10.96774193548387,52,0.9794117647058823,0.020588235294117647,0.0,0.0
2019-01-22 04:07:00,284,42,231,65.12676056338029,516,19395.823943661973,19556.5856903215,0.014084507042253521,0.0,0,0.0,15.0,6.761904761904762,39,0.9859154929577465,0.014084507042253521,0.0,0.0
2019-01-22 04:08:00,238,37,204,143.7731092436975,639,25732.100840336134,35973.816985593774,0.0,0.0,0,0.0,11.092436974789916,6.4324324324324325,74,1.0,0.0,0.0,0.0
2019-01-22 04:09:00,239,42,174,76.35983263598327,454,26310.200836820084,39512.721742888374,0.0794979079497908,0.0,0,0.0,10.292887029288703,5.690476190476191,43,0.9707112970711297,0.029288702928870293,0.0,0.0
2019-01-22 04:10:00,249,37,182,64.63453815261045,401,20633.963855421687,15979.874010701138,0.14859437751004015,0.0,0,0.0,21.927710843373493,6.72972972972973,49,0.9317269076305221,0.06827309236947791,0.0,0.0
2019-01-22 04:11:00,230,37,190,73.77391304347826,447,26459.34347826087,52322.29847428915,0.08695652173913043,0.0,0,0.0,21.130434782608695,6.216216216216216,42,0.9956521739130435,0.004347826086956522,0.0,0.0
2019-01-22 04:12:00,245,31,188,63.224489795918366,485,21319.224489795917,27202.48703602853,0.004081632653061225,0.004081632653061225,1,0.004081632653061225,8.326530612244898,7.903225806451613,57,1.0,0.0,0.0,0.0
2019-01-22 04:13:00,186,23,126,94.00537634408602,727,21981.532258064515,15592.093950583374,0.0,0.0,0,0.0,15.483870967741936,8.08695652173913,45,1.0,0.0,0.0,0.0
2019-01-22 04:14:00,212,34,176,84.7877358490566,459,22401.92924528302,16796.116567061166,0.009433962264150943,0.0,0,0.0,21.79245283018868,6.235294117647059,40,0.9905660377358491,0.009433962264150943,0.0,0.0
2019-01-22 04:15:00,266,47,207,71.1015037593985,453,27565.93233082707,59714.056182139466,0.015037593984962405,0.0,0,0.0,29.097744360902254,5.659574468085107,42,0.9624060150375939,0.03759398496240601,0.0,0.0
2019-01-22 04:16:00,136,28,108,103.23529411764706,447,29174.147058823528,45847.202716322245,0.029411764705882353,0.0,0,0.0,17.647058823529413,4.857142857142857,28,1.0,0.0,0.0,0.0
2019-01-22 04:17:00,192,38,167,87.35416666666667,459,19569.494791666668,41371.144562970876,0.0625,0.0,0,0.0,23.4375,5.052631578947368,38,0.984375,0.015625,0.0,0.0
2019-01-22 04:18:00,361,44,280,59.30193905817175,447,18346.509695290857,36759.94576499052,0.019390581717451522,0.0,0,0.0,24.265927977839336,8.204545454545455,68,0.997229916897507,0.002770083102493075,0.0,0.0
2019-01-22 04:19:00,315,38,258,67.97460317460317,447,16680.99365079365,23655.50751966016,0.022222222222222223,0.0,0,0.0,14.857142857142858,8.289473684210526,70,0.9904761904761905,0.009523809523809525,0.0,0.0
2019-01-22 04:20:00,197,44,155,88.42639593908629,443,20591.654822335026,42718.84804615461,0.015228426395939087,0.0,0,0.0,33.807106598984774,4.4772727272727275,28,0.9543147208121827,0.04568527918781726,0.0,0.0
2019-01-22 04:21:00,164,39,129,106.6219512195122,453,22879.603658536584,18485.25762447407,0.024390243902439025,0.0,0,0.0,32.19512195121951,4.205128205128205,36,1.0,0.0,0.0,0.0
2019-01-22 04:22:00,184,39,165,86.44021739130434,459,26560.043478260868,59939.22535239419,0.03260869565217391,0.0,0,0.0,27.717391304347824,4.717948717948718,31,1.0,0.0,0.0,0.0
2019-01-22 04:23:00,208,37,181,94.4375,459,26771.091346153848,58556.86872655712,0.057692307692307696,0.0,1,0.004807692307692308,27.98076923076923,5.621621621621622,38,1.0,0.0,0.0,0.0
