IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST
5.237.115.31,335,1.3648400896312896,281,28.528358208955225,8270.020895522388,2770457,0.0,0.0,0.0,0,0.0,0.9281437125748503,0.0,0.9761194029850746,0.0,0.0,0.023880597014925373
91.251.134.175,333,1.3566917905887146,255,31.16816816816817,11882.63063063063,3956916,0.006006006006006006,0.0,0.006006006006006006,0,0.0,3.75,0.0,0.96996996996997,0.0,0.0,0.03003003003003003
178.252.144.130,328,1.3363210429822776,230,25.182926829268293,8892.865853658537,2916860,0.003048780487804878,0.0,0.003048780487804878,0,0.0,3.1345565749235473,0.0,0.9725609756097561,0.0,0.0,0.027439024390243903
31.47.38.22,311,1.2670605011203913,277,25.823151125401928,7096.823151125402,2207112,0.006430868167202572,0.0,0.006430868167202572,0,0.0,0.9580645161290322,0.0,0.9903536977491961,0.0,0.0,0.00964630225080386
89.43.5.66,307,1.2507639030352415,245,29.684039087947884,8507.351791530944,2611757,0.003257328990228013,0.0,0.003257328990228013,0,0.0,0.5816993464052288,0.0,0.9609120521172638,0.0,0.0,0.03908794788273615
77.111.247.106,302,1.2303931554288043,230,31.490066225165563,8530.235099337748,2576131,0.006622516556291391,0.0,0.006622516556291391,0,0.0,1.521594684385382,0.0,0.9668874172185431,0.0,0.0,0.033112582781456956
66.249.66.92,300,1.2222448563862294,176,192.86333333333334,25324.896666666667,7597469,0.0,0.0,0.0,0,0.0,44.7056856187291,0.0,1.0,0.0,0.0,0.0
188.212.99.130,283,1.152984314524343,246,29.540636042402827,12519.212014134275,3542937,0.0035335689045936395,0.0,0.0035335689045936395,0,0.0,0.7304964539007093,0.0,1.0,0.0,0.0,0.0
91.98.72.44,278,1.132613566917906,233,26.075539568345324,5973.442446043166,1660617,0.0035971223021582736,0.0,0.0035971223021582736,0,0.0,0.8844765342960289,0.0,0.9964028776978417,0.0,0.0,0.0035971223021582736
5.112.217.76,277,1.1285394173966186,75,29.415162454873645,3531.693140794224,978279,0.018050541516245487,0.0036101083032490976,0.021660649819494584,0,0.0,11.376811594202898,0.0,0.7870036101083032,0.0,0.0036101083032490976,0.20938628158844766
46.225.137.68,276,1.124465267875331,227,31.11231884057971,8748.217391304348,2414508,0.007246376811594203,0.0,0.007246376811594203,0,0.0,3.810909090909091,0.0,1.0,0.0,0.0,0.0
204.18.175.72,274,1.116316968832756,199,33.61678832116788,17646.642335766424,4835180,0.0036496350364963502,0.0,0.0036496350364963502,0,0.0,9.139194139194139,0.0,0.9744525547445255,0.0,0.0,0.025547445255474453
99.246.134.169,273,1.1122428193114688,226,28.02930402930403,8728.761904761905,2382952,0.018315018315018316,0.0,0.018315018315018316,0,0.0,0.5073529411764706,0.0,1.0,0.0,0.0,0.0
2.191.96.86,270,1.1000203707476064,156,28.666666666666668,11517.751851851852,3109793,0.0,0.0,0.0,0,0.0,3.691449814126394,0.0,1.0,0.0,0.0,0.0
5.124.154.178,268,1.0918720717050316,218,31.294776119402986,8427.384328358208,2258539,0.0,0.0,0.0,0,0.0,3.4831460674157304,0.0,1.0,0.0,0.0,0.0
193.242.195.242,262,1.067427174577307,241,28.706106870229007,8694.854961832061,2278052,0.0,0.0,0.0,0,0.0,0.6628352490421456,0.0,0.9847328244274809,0.0,0.0,0.015267175572519083
5.119.221.47,260,1.0592788755347322,214,32.87692307692308,14474.003846153846,3763241,0.0,0.0,0.0,0,0.0,11.142857142857142,0.0,0.9730769230769231,0.0,0.0,0.026923076923076925
2.190.123.26,257,1.04705642697087,204,29.525291828793776,8475.428015564203,2178185,0.0,0.0,0.0,0,0.0,1.375,0.0,0.9688715953307393,0.0,0.0,0.0311284046692607
86.55.131.133,255,1.038908127928295,227,30.741176470588236,10452.356862745099,2665351,0.00784313725490196,0.0,0.00784313725490196,0,0.0,1.4881889763779528,0.0,1.0,0.0,0.0,0.0
