IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST
85.239.213.94,13,0.05296394377673661,13,12.0,3568.846153846154,46395,0.0,0.0,0.0,0,0.0,18.583333333333332,0.0,1.0,0.0,0.0,0.0
54.36.148.241,13,0.05296394377673661,13,98.76923076923077,27050.615384615383,351658,0.0,0.0,0.0,0,0.0,1023.0,72.0,1.0,0.0,0.0,0.0
46.51.112.91,13,0.05296394377673661,11,36.84615384615385,16042.923076923076,208558,0.0,0.0,0.0,0,0.0,2.5,0.0,1.0,0.0,0.0,0.0
91.98.215.11,13,0.05296394377673661,12,31.923076923076923,12445.076923076924,161786,0.0,0.0,0.0,0,0.0,0.25,0.0,1.0,0.0,0.0,0.0
46.62.175.60,13,0.05296394377673661,11,33.38461538461539,12464.461538461539,162038,0.0,0.0,0.0,0,0.0,17.0,0.0,1.0,0.0,0.0,0.0
46.248.43.161,13,0.05296394377673661,13,24.076923076923077,20794.0,270322,0.0,0.0,0.0,0,0.0,0.25,0.0,1.0,0.0,0.0,0.0
83.123.29.4,13,0.05296394377673661,11,40.38461538461539,11504.0,149552,0.0,0.0,0.0,0,0.0,1.1666666666666667,0.0,1.0,0.0,0.0,0.0
174.6.184.180,13,0.05296394377673661,7,21.23076923076923,11810.923076923076,153542,0.6153846153846154,0.0,0.6153846153846154,0,0.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.0
5.121.175.112,13,0.05296394377673661,13,12.0,3659.6153846153848,47575,0.0,0.0,0.0,0,0.0,21.75,0.0,1.0,0.0,0.0,0.0
62.138.7.172,13,0.05296394377673661,7,21.23076923076923,11629.384615384615,151182,0.6153846153846154,0.0,0.6153846153846154,0,0.0,2.6666666666666665,0.0,1.0,0.0,0.0,0.0
162.220.220.60,13,0.05296394377673661,7,26.384615384615383,11800.615384615385,153408,0.6153846153846154,0.0,0.6153846153846154,0,0.0,1.1666666666666667,0.0,1.0,0.0,0.0,0.0
5.234.202.146,13,0.05296394377673661,13,12.0,3568.846153846154,46395,0.0,0.0,0.0,0,0.0,5.583333333333333,0.0,1.0,0.0,0.0,0.0
54.36.149.86,13,0.05296394377673661,13,93.15384615384616,25471.923076923078,331135,0.07692307692307693,0.0,0.07692307692307693,0,0.0,1154.0,65.0,1.0,0.0,0.0,0.0
217.219.25.233,13,0.05296394377673661,13,12.0,3375.6153846153848,43883,0.0,0.0,0.0,0,0.0,44.416666666666664,0.0,1.0,0.0,0.0,0.0
69.65.31.104,12,0.048889794255449176,7,22.916666666666668,12381.0,148572,0.6666666666666666,0.0,0.6666666666666666,0,0.0,1.1818181818181819,0.0,1.0,0.0,0.0,0.0
108.26.219.129,12,0.048889794255449176,7,22.916666666666668,12478.666666666666,149744,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.0
40.77.195.252,12,0.048889794255449176,12,32.416666666666664,1362.3333333333333,16348,0.0,0.0,0.0,0,0.0,0.09090909090909091,0.0,1.0,0.0,0.0,0.0
46.224.77.32,12,0.048889794255449176,12,11.666666666666666,5277.083333333333,63325,0.0,0.0,0.0,0,0.0,4.909090909090909,0.0,1.0,0.0,0.0,0.0
89.196.86.202,12,0.048889794255449176,7,23.333333333333332,12780.5,153366,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0
2.181.39.190,12,0.048889794255449176,12,12.0,3597.1666666666665,43166,0.0,0.0,0.0,0,0.0,17.90909090909091,0.0,1.0,0.0,0.0,0.0
54.36.149.61,12,0.048889794255449176,12,80.75,30909.416666666668,370913,0.0,0.0,0.0,0,0.0,1117.3636363636363,25.0,1.0,0.0,0.0,0.0
54.36.149.66,12,0.048889794255449176,12,77.0,27011.416666666668,324137,0.0,0.0,0.0,0,0.0,1019.9090909090909,374.0,1.0,0.0,0.0,0.0
62.138.3.92,12,0.048889794255449176,7,37.666666666666664,13060.416666666666,156725,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.6363636363636364,0.0,1.0,0.0,0.0,0.0
62.138.6.56,12,0.048889794255449176,7,52.666666666666664,12971.75,155661,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.6363636363636364,0.0,1.0,0.0,0.0,0.0
74.82.60.35,12,0.048889794255449176,12,11.916666666666666,3891.75,46701,0.0,0.0,0.0,0,0.0,13.636363636363637,0.0,1.0,0.0,0.0,0.0
54.36.149.70,12,0.048889794255449176,12,77.16666666666667,26935.083333333332,323221,0.0,0.0,0.0,0,0.0,1251.3636363636363,123.0,1.0,0.0,0.0,0.0
54.36.148.25,12,0.048889794255449176,12,73.25,27338.916666666668,328067,0.0,0.0,0.0,0,0.0,1233.5454545454545,194.0,1.0,0.0,0.0,0.0
113.203.110.125,12,0.048889794255449176,12,12.0,18691.416666666668,224297,0.0,0.0,0.0,0,0.0,6.7272727272727275,0.0,1.0,0.0,0.0,0.0
54.36.148.174,12,0.048889794255449176,12,77.83333333333333,25880.666666666668,310568,0.0,0.0,0.0,0,0.0,1181.4545454545455,58.0,1.0,0.0,0.0,0.0
5.114.192.188,12,0.048889794255449176,7,27.583333333333332,12382.75,148593,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0
5.115.73.41,12,0.048889794255449176,7,23.333333333333332,12461.0,149532,0.6666666666666666,0.0,0.6666666666666666,0,0.0,1.8181818181818181,0.0,1.0,0.0,0.0,0.0
5.115.235.34,12,0.048889794255449176,9,35.0,15818.75,189825,0.0,0.0,0.0,0,0.0,1.8181818181818181,0.0,1.0,0.0,0.0,0.0
89.198.86.160,12,0.048889794255449176,7,37.166666666666664,12676.583333333334,152119,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0
89.198.184.125,12,0.048889794255449176,12,12.0,3799.75,45597,0.0,0.0,0.0,0,0.0,335.1818181818182,0.0,1.0,0.0,0.0,0.0
5.120.230.247,12,0.048889794255449176,7,42.5,13066.5,156798,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.0
5.219.203.95,12,0.048889794255449176,7,22.916666666666668,12583.083333333334,150997,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0
185.239.173.75,12,0.048889794255449176,7,22.916666666666668,12784.75,153417,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.7272727272727273,0.0,1.0,0.0,0.0,0.0
5.120.189.64,12,0.048889794255449176,12,12.0,4797.416666666667,57569,0.0,0.0,0.0,0,0.0,25.636363636363637,0.0,1.0,0.0,0.0,0.0
213.32.47.229,12,0.048889794255449176,7,49.333333333333336,13182.916666666666,158195,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.8181818181818182,0.0,1.0,0.0,0.0,0.0
37.129.139.234,12,0.048889794255449176,11,12.0,3947.5,47370,0.0,0.0,0.0,0,0.0,40.63636363636363,1.0,1.0,0.0,0.0,0.0
5.117.240.40,12,0.048889794255449176,12,12.0,5228.333333333333,62740,0.0,0.0,0.0,0,0.0,202.1818181818182,1.0,1.0,0.0,0.0,0.0
5.209.127.187,12,0.048889794255449176,11,31.0,4249.0,50988,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
195.154.122.9,12,0.048889794255449176,6,33.166666666666664,57841.0,694092,0.0,0.0,0.0,0,0.0,641.8181818181819,0.0,1.0,0.0,0.0,0.0
194.5.176.130,12,0.048889794255449176,12,40.0,37206.333333333336,446476,0.0,0.0,0.0,0,0.0,27.454545454545453,7.0,1.0,0.0,0.0,0.0
5.119.230.226,12,0.048889794255449176,7,25.666666666666668,12785.833333333334,153430,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.36363636363636365,0.0,1.0,0.0,0.0,0.0
194.225.168.176,12,0.048889794255449176,12,25.25,1002.9166666666666,12035,0.0,0.0,0.0,0,0.0,0.09090909090909091,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333
5.219.210.54,12,0.048889794255449176,12,12.0,3616.6666666666665,43400,0.0,0.0,0.0,0,0.0,183.0909090909091,0.0,1.0,0.0,0.0,0.0
2.177.176.32,12,0.048889794255449176,7,22.916666666666668,12634.666666666666,151616,0.6666666666666666,0.0,0.6666666666666666,0,0.0,3.272727272727273,0.0,1.0,0.0,0.0,0.0
5.124.188.227,12,0.048889794255449176,10,33.666666666666664,11446.5,137358,0.0,0.0,0.0,0,0.0,0.5454545454545454,0.0,1.0,0.0,0.0,0.0
5.219.94.195,12,0.048889794255449176,11,12.0,3762.8333333333335,45154,0.0,0.0,0.0,0,0.0,4.7272727272727275,0.0,1.0,0.0,0.0,0.0
83.123.45.78,12,0.048889794255449176,12,12.0,4233.25,50799,0.0,0.0,0.0,0,0.0,39.63636363636363,0.0,1.0,0.0,0.0,0.0
54.36.149.35,12,0.048889794255449176,12,68.83333333333333,32247.333333333332,386968,0.0,0.0,0.0,0,0.0,1334.090909090909,203.0,1.0,0.0,0.0,0.0
54.36.149.43,12,0.048889794255449176,12,85.91666666666667,25407.25,304887,0.0,0.0,0.0,0,0.0,973.4545454545455,183.0,1.0,0.0,0.0,0.0
5.216.169.99,12,0.048889794255449176,12,53.083333333333336,9314.25,111771,0.0,0.0,0.0,0,0.0,0.6363636363636364,0.0,1.0,0.0,0.0,0.0
31.56.183.142,12,0.048889794255449176,12,78.41666666666667,8818.916666666666,105827,0.0,0.0,0.0,0,0.0,0.36363636363636365,0.0,1.0,0.0,0.0,0.0
151.238.192.28,12,0.048889794255449176,11,40.166666666666664,12615.833333333334,151390,0.08333333333333333,0.0,0.08333333333333333,0,0.0,0.45454545454545453,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
151.243.27.138,12,0.048889794255449176,7,22.916666666666668,12591.583333333334,151099,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.36363636363636365,0.0,1.0,0.0,0.0,0.0
54.36.149.104,12,0.048889794255449176,12,88.5,29004.416666666668,348053,0.0,0.0,0.0,0,0.0,1073.6363636363637,92.0,1.0,0.0,0.0,0.0
5.123.179.194,12,0.048889794255449176,12,12.0,3986.4166666666665,47837,0.0,0.0,0.0,0,0.0,24.272727272727273,0.0,1.0,0.0,0.0,0.0
5.106.35.63,12,0.048889794255449176,11,40.916666666666664,14766.083333333334,177193,0.0,0.0,0.0,0,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0
5.112.109.37,12,0.048889794255449176,11,46.166666666666664,18428.75,221145,0.08333333333333333,0.0,0.08333333333333333,0,0.0,1.4545454545454546,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
104.248.21.70,12,0.048889794255449176,7,55.5,12722.833333333334,152674,0.6666666666666666,0.0,0.6666666666666666,0,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.0
54.36.148.239,11,0.04481564473416175,11,67.0909090909091,30850.545454545456,339356,0.0,0.0,0.0,0,0.0,1391.5,157.0,1.0,0.0,0.0,0.0
92.114.75.159,11,0.04481564473416175,11,39.18181818181818,9762.90909090909,107392,0.09090909090909091,0.0,0.09090909090909091,0,0.0,7.3,0.0,1.0,0.0,0.0,0.0
46.51.32.228,11,0.04481564473416175,6,40.36363636363637,13929.90909090909,153229,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.1,0.0,1.0,0.0,0.0,0.0
83.120.80.115,11,0.04481564473416175,11,46.90909090909091,10461.727272727272,115079,0.0,0.0,0.0,0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
54.36.148.38,11,0.04481564473416175,11,87.45454545454545,29349.454545454544,322844,0.0,0.0,0.0,0,0.0,1179.0,163.0,1.0,0.0,0.0,0.0
46.209.159.50,11,0.04481564473416175,11,12.0,3587.3636363636365,39461,0.0,0.0,0.0,0,0.0,1.1,0.0,1.0,0.0,0.0,0.0
5.214.112.150,11,0.04481564473416175,11,12.0,4418.0,48598,0.0,0.0,0.0,0,0.0,166.4,0.0,1.0,0.0,0.0,0.0
5.125.206.3,11,0.04481564473416175,7,21.727272727272727,10554.636363636364,116101,0.6363636363636364,0.0,0.6363636363636364,0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
5.122.158.90,11,0.04481564473416175,10,12.0,3903.3636363636365,42937,0.0,0.0,0.0,0,0.0,12.9,1.0,1.0,0.0,0.0,0.0
83.123.1.201,11,0.04481564473416175,11,11.818181818181818,20796.454545454544,228761,0.0,0.0,0.0,0,0.0,39.6,0.0,1.0,0.0,0.0,0.0
194.225.167.158,11,0.04481564473416175,11,25.727272727272727,243.54545454545453,2679,0.0,0.0,0.0,0,0.0,0.1,0.0,1.0,0.0,0.0,0.0
86.55.69.242,11,0.04481564473416175,11,12.0,3908.4545454545455,42993,0.0,0.0,0.0,0,0.0,152.6,5.0,1.0,0.0,0.0,0.0
54.36.149.50,11,0.04481564473416175,11,49.09090909090909,27833.636363636364,306170,0.0,0.0,0.0,0,0.0,1118.6,25.0,1.0,0.0,0.0,0.0
151.235.26.216,11,0.04481564473416175,7,11.545454545454545,2520.181818181818,27722,0.0,0.0,0.0,0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
83.120.215.79,11,0.04481564473416175,6,39.63636363636363,14343.09090909091,157774,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.2,0.0,1.0,0.0,0.0,0.0
5.125.230.170,11,0.04481564473416175,10,12.0,3579.909090909091,39379,0.0,0.0,0.0,0,0.0,8.2,0.0,1.0,0.0,0.0,0.0
54.36.149.56,11,0.04481564473416175,11,72.72727272727273,24963.272727272728,274596,0.0,0.0,0.0,0,0.0,1298.3,31.0,1.0,0.0,0.0,0.0
54.36.149.58,11,0.04481564473416175,11,61.90909090909091,31937.545454545456,351313,0.0,0.0,0.0,0,0.0,1377.7,634.0,1.0,0.0,0.0,0.0
5.120.238.207,11,0.04481564473416175,11,12.0,3755.4545454545455,41310,0.0,0.0,0.0,0,0.0,8.6,0.0,1.0,0.0,0.0,0.0
62.138.7.143,11,0.04481564473416175,6,24.90909090909091,13844.363636363636,152288,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.6,0.0,1.0,0.0,0.0,0.0
5.120.34.47,11,0.04481564473416175,10,41.90909090909091,10568.454545454546,116253,0.0,0.0,0.0,0,0.0,3.3,0.0,1.0,0.0,0.0,0.0
2.176.232.194,11,0.04481564473416175,11,11.727272727272727,3031.5454545454545,33347,0.0,0.0,0.0,0,0.0,74.9,0.0,1.0,0.0,0.0,0.0
185.239.173.78,11,0.04481564473416175,6,24.90909090909091,13834.181818181818,152176,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.7,0.0,1.0,0.0,0.0,0.0
37.129.129.59,11,0.04481564473416175,9,31.90909090909091,9009.727272727272,99107,0.0,0.0,0.0,0,0.0,2.5,0.0,1.0,0.0,0.0,0.0
86.55.30.186,11,0.04481564473416175,6,24.90909090909091,13945.727272727272,153403,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.9,0.0,1.0,0.0,0.0,0.0
194.225.167.78,11,0.04481564473416175,11,26.545454545454547,243.0,2673,0.0,0.0,0.0,0,0.0,0.1,0.0,1.0,0.0,0.0,0.0
2.186.101.93,11,0.04481564473416175,11,46.90909090909091,10461.09090909091,115072,0.0,0.0,0.0,0,0.0,0.4,0.0,1.0,0.0,0.0,0.0
158.58.52.65,11,0.04481564473416175,6,39.18181818181818,14357.0,157927,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.4,0.0,1.0,0.0,0.0,0.0
5.119.113.235,11,0.04481564473416175,11,47.81818181818182,11585.363636363636,127439,0.0,0.0,0.0,0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
5.113.219.160,11,0.04481564473416175,11,56.0,9624.0,105864,0.0,0.0,0.0,0,0.0,0.6,0.0,1.0,0.0,0.0,0.0
174.233.0.60,11,0.04481564473416175,6,26.181818181818183,14260.818181818182,156869,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.4,0.0,1.0,0.0,0.0,0.0
40.77.253.168,11,0.04481564473416175,11,15.818181818181818,2965.3636363636365,32619,0.0,0.0,0.0,0,0.0,0.4,0.0,1.0,0.0,0.0,0.0
5.202.214.171,11,0.04481564473416175,11,51.72727272727273,10447.818181818182,114926,0.09090909090909091,0.0,0.09090909090909091,0,0.0,0.8,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0
104.248.138.218,11,0.04481564473416175,9,50.81818181818182,12461.181818181818,137073,0.0,0.0,0.0,0,0.0,6.5,0.0,1.0,0.0,0.0,0.0
40.77.190.32,11,0.04481564473416175,11,28.727272727272727,15314.363636363636,168458,0.0,0.0,0.0,0,0.0,2.5,0.0,1.0,0.0,0.0,0.0
204.18.119.175,11,0.04481564473416175,10,38.36363636363637,25003.090909090908,275034,0.0,0.0,0.0,0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
104.36.19.231,11,0.04481564473416175,6,26.363636363636363,13984.363636363636,153828,0.7272727272727273,0.0,0.7272727272727273,0,0.0,3.7,0.0,1.0,0.0,0.0,0.0
91.109.109.99,11,0.04481564473416175,11,12.0,3960.4545454545455,43565,0.0,0.0,0.0,0,0.0,145.1,0.0,1.0,0.0,0.0,0.0
192.119.164.118,11,0.04481564473416175,6,24.90909090909091,13619.181818181818,149811,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.8,0.0,1.0,0.0,0.0,0.0
5.114.186.13,11,0.04481564473416175,11,41.81818181818182,10284.09090909091,113125,0.0,0.0,0.0,0,0.0,0.6,0.0,1.0,0.0,0.0,0.0
54.36.148.191,11,0.04481564473416175,11,93.0909090909091,31732.909090909092,349062,0.0,0.0,0.0,0,0.0,1368.9,470.0,1.0,0.0,0.0,0.0
54.36.148.249,11,0.04481564473416175,11,77.81818181818181,30803.81818181818,338842,0.0,0.0,0.0,0,0.0,1159.4,234.0,1.0,0.0,0.0,0.0
54.36.148.205,11,0.04481564473416175,11,51.72727272727273,32125.727272727272,353383,0.09090909090909091,0.0,0.09090909090909091,0,0.0,1136.8,54.0,1.0,0.0,0.0,0.0
54.36.148.232,11,0.04481564473416175,11,43.72727272727273,30301.363636363636,333315,0.0,0.0,0.0,0,0.0,1216.4,4.0,1.0,0.0,0.0,0.0
54.36.148.114,11,0.04481564473416175,11,66.45454545454545,23738.636363636364,261125,0.18181818181818182,0.0,0.18181818181818182,0,0.0,1304.0,257.0,1.0,0.0,0.0,0.0
54.36.148.177,11,0.04481564473416175,11,55.72727272727273,30487.636363636364,335364,0.0,0.0,0.0,0,0.0,1314.3,46.0,1.0,0.0,0.0,0.0
89.198.111.226,11,0.04481564473416175,11,54.36363636363637,14629.727272727272,160927,0.0,0.0,0.0,0,0.0,0.4,0.0,1.0,0.0,0.0,0.0
54.36.148.61,11,0.04481564473416175,11,57.0,27861.454545454544,306476,0.0,0.0,0.0,0,0.0,1276.0,241.0,1.0,0.0,0.0,0.0
192.119.14.199,11,0.04481564473416175,6,25.545454545454547,13921.454545454546,153136,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.9,0.0,1.0,0.0,0.0,0.0
37.148.115.206,11,0.04481564473416175,6,24.90909090909091,13508.09090909091,148589,0.7272727272727273,0.0,0.7272727272727273,0,0.0,0.3,0.0,1.0,0.0,0.0,0.0
37.137.60.192,11,0.04481564473416175,11,12.0,3520.090909090909,38721,0.0,0.0,0.0,0,0.0,14.7,1.0,1.0,0.0,0.0,0.0
5.116.50.48,11,0.04481564473416175,11,11.818181818181818,11934.727272727272,131282,0.0,0.0,0.0,0,0.0,20.5,0.0,1.0,0.0,0.0,0.0
5.115.29.157,11,0.04481564473416175,11,11.818181818181818,5268.454545454545,57953,0.0,0.0,0.0,0,0.0,41.4,0.0,1.0,0.0,0.0,0.0
54.36.148.55,11,0.04481564473416175,11,59.18181818181818,27142.454545454544,298567,0.0,0.0,0.0,0,0.0,1375.6,168.0,1.0,0.0,0.0,0.0
54.36.148.128,10,0.04074149521287431,10,91.8,24895.3,248953,0.0,0.0,0.0,0,0.0,1258.0,217.0,1.0,0.0,0.0,0.0
54.36.148.50,10,0.04074149521287431,10,58.4,25496.9,254969,0.0,0.0,0.0,0,0.0,1216.3333333333333,28.0,1.0,0.0,0.0,0.0
5.212.150.3,10,0.04074149521287431,10,59.3,10466.4,104664,0.0,0.0,0.0,0,0.0,24.555555555555557,0.0,1.0,0.0,0.0,0.0
5.116.144.92,10,0.04074149521287431,10,11.7,5198.1,51981,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54.36.148.52,10,0.04074149521287431,10,78.9,27453.3,274533,0.0,0.0,0.0,0,0.0,1297.3333333333333,399.0,1.0,0.0,0.0,0.0
37.137.44.9,10,0.04074149521287431,7,38.1,14603.3,146033,0.0,0.0,0.0,0,0.0,7.444444444444445,0.0,1.0,0.0,0.0,0.0
54.36.149.63,10,0.04074149521287431,10,65.5,33297.4,332974,0.0,0.0,0.0,0,0.0,1130.5555555555557,100.0,1.0,0.0,0.0,0.0
2.121.205.40,10,0.04074149521287431,7,64.4,15497.4,154974,0.6,0.0,0.6,0,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,0.0
194.225.168.173,10,0.04074149521287431,10,26.1,270.1,2701,0.0,0.0,0.0,0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0
178.173.195.17,10,0.04074149521287431,10,12.0,3512.0,35120,0.0,0.0,0.0,0,0.0,18.666666666666668,0.0,1.0,0.0,0.0,0.0
5.117.51.43,10,0.04074149521287431,7,21.0,14796.8,147968,0.6,0.0,0.6,0,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0
5.117.194.104,10,0.04074149521287431,10,12.0,3821.3,38213,0.0,0.0,0.0,0,0.0,242.22222222222223,1.0,1.0,0.0,0.0,0.0
5.119.84.176,10,0.04074149521287431,7,12.0,3585.0,35850,0.0,0.0,0.0,0,0.0,12.555555555555555,0.0,1.0,0.0,0.0,0.0
2.180.131.14,10,0.04074149521287431,10,23.5,13976.2,139762,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
54.36.148.159,10,0.04074149521287431,10,56.7,26861.0,268610,0.0,0.0,0.0,0,0.0,1465.3333333333333,43.0,1.0,0.0,0.0,0.0
54.36.148.152,10,0.04074149521287431,10,73.5,23324.5,233245,0.0,0.0,0.0,0,0.0,1491.888888888889,264.0,1.0,0.0,0.0,0.0
54.36.148.230,10,0.04074149521287431,10,70.5,18798.4,187984,0.0,0.0,0.0,0,0.0,1545.4444444444443,431.0,1.0,0.0,0.0,0.0
204.18.142.107,10,0.04074149521287431,4,46.2,116194.4,1161944,0.0,0.0,0.0,0,0.0,5.888888888888889,0.0,1.0,0.0,0.0,0.0
91.251.134.118,10,0.04074149521287431,10,48.7,11320.1,113201,0.1,0.0,0.1,0,0.0,0.4444444444444444,0.0,0.9,0.1,0.0,0.0
54.36.148.184,10,0.04074149521287431,10,74.7,31961.5,319615,0.0,0.0,0.0,0,0.0,1348.111111111111,57.0,1.0,0.0,0.0,0.0
54.36.148.192,10,0.04074149521287431,10,77.5,16261.7,162617,0.0,0.0,0.0,0,0.0,1498.888888888889,44.0,1.0,0.0,0.0,0.0
204.18.114.42,10,0.04074149521287431,10,12.0,3572.9,35729,0.0,0.0,0.0,0,0.0,311.77777777777777,0.0,1.0,0.0,0.0,0.0
54.36.148.196,10,0.04074149521287431,10,62.3,29860.2,298602,0.0,0.0,0.0,0,0.0,1294.888888888889,10.0,1.0,0.0,0.0,0.0
40.77.189.52,10,0.04074149521287431,8,28.3,6398.1,63981,0.0,0.0,0.0,0,0.0,2.6666666666666665,0.0,1.0,0.0,0.0,0.0
5.112.69.225,10,0.04074149521287431,10,11.9,3360.7,33607,0.0,0.0,0.0,0,0.0,64.44444444444444,0.0,1.0,0.0,0.0,0.0
54.36.148.19,10,0.04074149521287431,10,67.6,26279.3,262793,0.0,0.0,0.0,0,0.0,1324.2222222222222,148.0,1.0,0.0,0.0,0.0
89.219.115.217,10,0.04074149521287431,6,26.2,15106.4,151064,0.8,0.0,0.8,0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0
54.36.149.7,10,0.04074149521287431,10,49.4,24306.0,243060,0.0,0.0,0.0,0,0.0,1581.5555555555557,233.0,1.0,0.0,0.0,0.0
54.36.149.90,10,0.04074149521287431,10,40.1,28545.3,285453,0.0,0.0,0.0,0,0.0,1088.5555555555557,147.0,1.0,0.0,0.0,0.0
54.36.148.113,10,0.04074149521287431,10,84.4,30424.8,304248,0.0,0.0,0.0,0,0.0,1516.0,75.0,1.0,0.0,0.0,0.0
54.36.149.91,10,0.04074149521287431,10,56.4,33311.1,333111,0.0,0.0,0.0,0,0.0,1312.6666666666667,19.0,1.0,0.0,0.0,0.0
54.36.148.18,10,0.04074149521287431,10,81.2,19841.4,198414,0.0,0.0,0.0,0,0.0,1547.5555555555557,109.0,1.0,0.0,0.0,0.0
85.133.207.18,10,0.04074149521287431,10,31.7,21200.9,212009,0.0,0.0,0.0,0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0
54.36.149.1,10,0.04074149521287431,10,75.6,29543.9,295439,0.0,0.0,0.0,0,0.0,1433.888888888889,97.0,1.0,0.0,0.0,0.0
54.36.149.10,10,0.04074149521287431,10,86.7,23733.2,237332,0.0,0.0,0.0,0,0.0,1387.5555555555557,288.0,1.0,0.0,0.0,0.0
151.238.157.22,10,0.04074149521287431,4,14.1,77885.1,778851,0.0,0.0,0.0,0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,0.0
5.112.126.81,10,0.04074149521287431,10,12.0,4099.5,40995,0.0,0.0,0.0,0,0.0,134.88888888888889,0.0,1.0,0.0,0.0,0.0
54.36.148.30,10,0.04074149521287431,10,51.6,26353.1,263531,0.0,0.0,0.0,0,0.0,1044.111111111111,177.0,1.0,0.0,0.0,0.0
92.114.76.197,10,0.04074149521287431,8,112.2,9625.5,96255,0.0,0.0,0.0,0,0.0,1.8888888888888888,0.0,1.0,0.0,0.0,0.0
95.162.175.139,10,0.04074149521287431,10,12.0,4200.6,42006,0.0,0.0,0.0,0,0.0,148.33333333333334,0.0,1.0,0.0,0.0,0.0
109.125.156.21,10,0.04074149521287431,10,18.0,4693.8,46938,0.0,0.0,0.0,0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0
5.123.77.81,10,0.04074149521287431,10,42.0,12017.0,120170,0.0,0.0,0.0,0,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0
5.215.142.149,10,0.04074149521287431,10,12.0,3216.3,32163,0.0,0.0,0.0,0,0.0,126.88888888888889,0.0,1.0,0.0,0.0,0.0
5.127.157.94,10,0.04074149521287431,10,26.4,27666.8,276668,0.1,0.0,0.1,0,0.0,45.333333333333336,0.0,0.9,0.1,0.0,0.0
54.36.149.32,9,0.03666734569158688,9,92.55555555555556,31303.222222222223,281729,0.0,0.0,0.0,0,0.0,1611.5,125.0,1.0,0.0,0.0,0.0
5.208.40.176,9,0.03666734569158688,9,12.0,3909.777777777778,35188,0.0,0.0,0.0,0,0.0,115.5,0.0,1.0,0.0,0.0,0.0
5.216.86.222,9,0.03666734569158688,9,11.666666666666666,2617.4444444444443,23557,0.0,0.0,0.0,0,0.0,49.625,0.0,1.0,0.0,0.0,0.0
54.36.149.14,9,0.03666734569158688,9,46.55555555555556,27882.222222222223,250940,0.0,0.0,0.0,0,0.0,1785.5,99.0,1.0,0.0,0.0,0.0
