IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,label_reason,weak_label
40.77.189.19,2,0.0081482990425748,2,30.5,5527.0,11054,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.69,5,0.0203707476064371,5,104.0,19348.2,96741,0.0,0.0,0.0,0,0.0,854.0,36.0,1.0,0.0,0.0,0.0,none,Normal
91.133.169.78,1,0.0040741495212874,1,12.0,5408.0,5408,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
192.15.112.160,16,0.0651863923405989,16,67.4375,11539.625,184634,0.0,0.0,0.0,0,0.0,5.666666666666667,0.0,1.0,0.0,0.0,0.0,none,Normal
83.122.213.8,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
69.194.83.78,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,9.0,9.0,1.0,0.0,0.0,0.0,none,Normal
5.112.245.245,96,0.3911183540435934,84,31.260416666666668,10000.75,960072,0.0,0.0,0.0,0,0.0,5.08421052631579,0.0,1.0,0.0,0.0,0.0,R2_high_request_rate,Anomaly
5.210.216.70,6,0.0244448971277245,6,12.0,5033.5,30201,0.0,0.0,0.0,0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.51,8,0.0325931961702994,8,61.75,33493.25,267946,0.0,0.0,0.0,0,0.0,1889.7142857142856,318.0,1.0,0.0,0.0,0.0,none,Normal
5.113.190.123,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,none,Normal
