window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip,label_reason,weak_label
2019-01-22 07:02:00,529,69,383,50.99054820415879,452,16113.844990548205,8524224,0.9017013232514176,0.0831758034026465,0.0151228733459357,0.0,0.0,64.62007874015748,0.994328922495274,0.0056710775047258,0.0,0.0,79,none,Normal
2019-01-22 04:45:00,350,41,282,53.12285714285714,644,13779.294285714286,4822753,0.8485714285714285,0.12,0.0314285714285714,0.0,0.0028571428571428,33.54782608695652,0.9742857142857144,0.0257142857142857,0.0,0.0,89,none,Normal
2019-01-22 05:57:00,276,48,232,67.82246376811594,422,21294.036231884056,5877154,0.9239130434782608,0.0615942028985507,0.0144927536231884,0.0,0.0036231884057971,120.38076923076925,0.9963768115942028,0.0036231884057971,0.0,0.0,42,none,Normal
2019-01-22 07:15:00,362,67,278,56.34254143646409,453,17206.406077348067,6228719,0.9447513812154696,0.0524861878453038,0.0027624309392265,0.0,0.0,16.25602409638554,0.9917127071823204,0.005524861878453,0.0,0.0027624309392265,64,none,Normal
2019-01-22 07:53:00,1651,109,1036,34.0526953361599,433,10647.571168988492,17579140,0.9600242277407632,0.0266505148394912,0.0133252574197456,0.0,0.0,27.58012422360249,0.9860690490611752,0.0030284675953967,0.0,0.0109024833434282,187,R2_high_request_rate;R3_single_ip_flood,Anomaly
2019-01-22 06:43:00,475,58,341,51.65473684210527,433,14285.113684210526,6785429,0.9010526315789472,0.071578947368421,0.0273684210526315,0.0,0.0,44.67763157894737,0.9873684210526316,0.0063157894736842,0.0,0.0063157894736842,108,none,Normal
2019-01-22 04:57:00,206,31,185,82.95631067961165,408,22497.80582524272,4634548,0.9320388349514565,0.0679611650485436,0.0,0.0,0.0,31.787128712871286,1.0,0.0,0.0,0.0,45,none,Normal
2019-01-22 05:33:00,286,43,212,74.25174825174825,450,23750.552447552447,6792658,0.9090909090909092,0.0314685314685314,0.0594405594405594,0.0,0.0,77.7589928057554,0.993006993006993,0.0069930069930069,0.0,0.0,48,none,Normal
2019-01-22 06:27:00,271,57,217,84.49077490774907,481,24465.39852398524,6630123,0.8708487084870848,0.059040590405904,0.070110701107011,0.0,0.0,130.24193548387098,0.996309963099631,0.003690036900369,0.0,0.0,43,R5_high_4xx_scan,Anomaly
2019-01-22 04:15:00,266,47,207,71.1015037593985,453,27565.93233082707,7332538,0.924812030075188,0.0601503759398496,0.0150375939849624,0.0,0.0,31.124,0.962406015037594,0.037593984962406,0.0,0.0,42,none,Normal
2019-01-22 07:01:00,350,59,252,57.62857142857143,452,15929.497142857144,5575324,0.8514285714285714,0.14,0.0085714285714285,0.0,0.0028571428571428,77.2078313253012,0.9885714285714284,0.0114285714285714,0.0,0.0,49,none,Normal
2019-01-22 04:19:00,315,38,258,67.97460317460317,447,16680.99365079365,5254513,0.9174603174603174,0.0603174603174603,0.0222222222222222,0.0,0.0,15.174342105263158,0.9904761904761904,0.0095238095238095,0.0,0.0,70,none,Normal
2019-01-22 06:47:00,278,49,204,52.96762589928058,407,18118.474820143885,5036936,0.8705035971223022,0.1043165467625899,0.0251798561151079,0.0,0.0,173.55984555984557,0.9964028776978416,0.0035971223021582,0.0,0.0,39,none,Normal
