window_start,requests_per_window,unique_ip_count,unique_url_count,avg_url_length,max_url_length,avg_response_bytes,total_response_bytes,status_2xx_ratio,status_3xx_ratio,status_4xx_ratio,status_5xx_ratio,suspicious_uri_ratio,avg_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,max_requests_single_ip
2019-01-22 05:34:00,255,36,199,75.50196078431372,503,18690.44705882353,4766064,0.8980392156862745,0.06666666666666667,0.03529411764705882,0.0,0.0,59.34146341463415,0.9882352941176471,0.00784313725490196,0.0,0.00392156862745098,47
2019-01-22 05:35:00,284,37,242,69.73591549295774,496,17918.665492957745,5088901,0.8908450704225352,0.07394366197183098,0.035211267605633804,0.0,0.0,130.23655913978496,0.9894366197183099,0.01056338028169014,0.0,0.0,76
2019-01-22 05:36:00,212,42,166,85.69339622641509,496,19853.77358490566,4209000,0.7641509433962265,0.16037735849056603,0.07547169811320754,0.0,0.0,132.8009708737864,0.9858490566037735,0.014150943396226415,0.0,0.0,41
2019-01-22 05:37:00,227,39,183,90.74008810572687,489,21311.189427312776,4837640,0.8942731277533039,0.05726872246696035,0.048458149779735685,0.0,0.0,67.72811059907833,0.9911894273127754,0.00881057268722467,0.0,0.0,59
2019-01-22 05:38:00,243,37,213,91.08641975308642,498,22824.893004115227,5546449,0.9094650205761317,0.06995884773662552,0.0205761316872428,0.0,0.0,87.10924369747899,0.9917695473251029,0.00823045267489712,0.0,0.0,31
2019-01-22 05:39:00,281,39,251,87.37722419928825,496,25317.085409252668,7114101,0.9395017793594306,0.042704626334519574,0.017793594306049824,0.0,0.0,108.9084249084249,0.9928825622775801,0.0071174377224199285,0.0,0.0,57
2019-01-22 05:40:00,215,36,170,97.95348837209302,670,19156.3488372093,4118615,0.8093023255813954,0.12558139534883722,0.06511627906976744,0.0,0.004651162790697674,36.93269230769231,0.986046511627907,0.013953488372093023,0.0,0.0,41
2019-01-22 05:41:00,327,39,296,72.33333333333333,693,18464.238532110092,6037806,0.8990825688073395,0.0856269113149847,0.01529051987767584,0.0,0.0,71.28616352201257,0.9908256880733946,0.009174311926605505,0.0,0.0,88
2019-01-22 05:42:00,225,38,197,98.52,489,22370.782222222224,5033426,0.9022222222222223,0.07555555555555556,0.022222222222222223,0.0,0.0,137.78995433789953,0.9911111111111112,0.008888888888888889,0.0,0.0,44
2019-01-22 05:43:00,467,33,350,55.74304068522484,433,15717.479657387581,7340063,0.9079229122055674,0.07922912205567452,0.01284796573875803,0.0,0.0,40.91973969631236,0.9957173447537473,0.004282655246252677,0.0,0.0,92
2019-01-22 05:44:00,266,34,219,82.40601503759399,434,20279.45112781955,5394334,0.924812030075188,0.041353383458646614,0.03383458646616541,0.0,0.0037593984962406013,16.16862745098039,0.9924812030075187,0.007518796992481203,0.0,0.0,45
2019-01-22 05:45:00,200,37,167,99.295,434,26093.01,5218602,0.905,0.045,0.05,0.0,0.005,151.65463917525773,0.985,0.015,0.0,0.0,33
2019-01-22 05:46:00,233,32,200,88.62231759656652,489,23449.905579399143,5463828,0.9313304721030042,0.060085836909871244,0.008583690987124463,0.0,0.004291845493562232,46.37280701754386,0.9871244635193133,0.012875536480686695,0.0,0.0,52
2019-01-22 05:47:00,233,40,210,87.78540772532189,431,23755.064377682404,5534930,0.9785407725321889,0.017167381974248927,0.004291845493562232,0.0,0.004291845493562232,67.77477477477477,0.9957081545064378,0.004291845493562232,0.0,0.0,33
2019-01-22 05:48:00,248,37,214,93.4758064516129,438,26606.84677419355,6598498,0.9395161290322581,0.04435483870967742,0.016129032258064516,0.0,0.004032258064516129,84.53719008264463,0.9919354838709677,0.008064516129032258,0.0,0.0,37
2019-01-22 05:49:00,252,40,211,69.27380952380952,654,24883.325396825396,6270598,0.9246031746031746,0.06746031746031746,0.007936507936507936,0.0,0.0,64.33064516129032,0.9920634920634921,0.007936507936507936,0.0,0.0,32
2019-01-22 05:50:00,232,49,201,71.83620689655173,462,24689.133620689656,5727879,0.9353448275862069,0.05603448275862069,0.008620689655172414,0.0,0.004310344827586207,149.69724770642202,0.9870689655172413,0.01293103448275862,0.0,0.0,32
2019-01-22 05:51:00,294,41,271,73.88095238095238,644,17566.88775510204,5164665,0.935374149659864,0.05442176870748299,0.01020408163265306,0.0,0.0,98.21453287197232,0.9897959183673469,0.01020408163265306,0.0,0.0,87
2019-01-22 05:52:00,241,39,208,66.30705394190872,438,20188.792531120333,4865499,0.941908713692946,0.04564315352697095,0.012448132780082987,0.0,0.004149377593360996,103.25431034482759,0.991701244813278,0.008298755186721992,0.0,0.0,34
2019-01-22 05:53:00,196,40,162,90.5,444,23682.316326530614,4641734,0.9489795918367347,0.04081632653061224,0.01020408163265306,0.0,0.0,109.35135135135135,0.9897959183673469,0.01020408163265306,0.0,0.0,29
2019-01-22 05:54:00,223,46,192,79.56053811659193,727,22557.103139013452,5030234,0.9417040358744395,0.04035874439461883,0.017937219730941704,0.0,0.004484304932735426,164.93896713615024,0.9910313901345291,0.008968609865470852,0.0,0.0,32
2019-01-22 05:55:00,208,51,179,58.28365384615385,701,21946.68269230769,4564910,0.9038461538461539,0.07211538461538461,0.02403846153846154,0.0,0.0,155.46231155778895,0.9855769230769231,0.014423076923076924,0.0,0.0,37
2019-01-22 05:56:00,245,34,215,65.29795918367347,437,18136.179591836735,4443364,0.9020408163265307,0.07755102040816327,0.02040816326530612,0.0,0.004081632653061225,115.5,0.9795918367346939,0.02040816326530612,0.0,0.0,70
2019-01-22 05:57:00,276,48,232,67.82246376811594,422,21294.036231884056,5877154,0.9239130434782609,0.06159420289855073,0.014492753623188406,0.0,0.0036231884057971015,120.38076923076923,0.9963768115942029,0.0036231884057971015,0.0,0.0,42
2019-01-22 05:58:00,258,38,190,68.06976744186046,433,22254.96899224806,5741782,0.9224806201550387,0.06201550387596899,0.015503875968992248,0.0,0.003875968992248062,76.044,0.9922480620155039,0.007751937984496124,0.0,0.0,36
2019-01-22 05:59:00,259,38,214,84.92277992277992,458,23984.660231660233,6212027,0.9613899613899614,0.023166023166023165,0.015444015444015444,0.0,0.003861003861003861,10.294354838709678,0.9922779922779923,0.007722007722007722,0.0,0.0,32
2019-01-22 06:00:00,267,41,203,84.05992509363296,466,19409.142322097377,5182241,0.9026217228464419,0.06741573033707865,0.0299625468164794,0.0,0.003745318352059925,85.06274509803922,0.9850187265917603,0.011235955056179775,0.0,0.003745318352059925,39
2019-01-22 06:01:00,337,41,254,71.09198813056379,489,20327.234421364985,6850278,0.9317507418397626,0.05341246290801187,0.01483679525222552,0.0,0.0,45.47289156626506,0.9910979228486647,0.008902077151335312,0.0,0.0,64
2019-01-22 06:02:00,256,38,202,84.6640625,445,23090.7890625,5911242,0.97265625,0.0234375,0.00390625,0.0,0.0078125,111.8225806451613,0.99609375,0.00390625,0.0,0.0,32
2019-01-22 06:03:00,225,33,199,89.99111111111111,433,22315.057777777776,5020888,0.9644444444444444,0.035555555555555556,0.0,0.0,0.0,108.63063063063063,0.9911111111111112,0.008888888888888889,0.0,0.0,51
2019-01-22 06:04:00,279,36,229,69.21863799283155,432,19205.78494623656,5358414,0.8924731182795699,0.053763440860215055,0.053763440860215055,0.0,0.0,65.34456928838951,0.992831541218638,0.007168458781362007,0.0,0.0,77
2019-01-22 06:05:00,367,61,288,57.607629427792915,424,16156.008174386921,5929255,0.9427792915531336,0.043596730245231606,0.013623978201634877,0.0,0.0,151.44668587896254,0.9918256130790191,0.008174386920980926,0.0,0.0,54
2019-01-22 06:06:00,195,43,166,76.95384615384616,514,20906.964102564103,4076858,0.9025641025641026,0.07179487179487179,0.02564102564102564,0.0,0.0,140.71428571428572,0.9692307692307692,0.015384615384615385,0.0,0.015384615384615385,43
2019-01-22 06:07:00,298,56,259,62.46979865771812,419,23752.489932885906,7078242,0.9530201342281879,0.03355704697986577,0.013422818791946308,0.0,0.003355704697986577,148.21052631578948,0.9899328859060402,0.006711409395973154,0.0,0.003355704697986577,43
2019-01-22 06:08:00,218,37,196,91.72935779816514,433,28524.435779816515,6218327,0.963302752293578,0.03669724770642202,0.0,0.0,0.0,150.99065420560748,0.9908256880733946,0.009174311926605505,0.0,0.0,45
2019-01-22 06:09:00,316,40,267,75.57911392405063,445,20836.335443037973,6584282,0.939873417721519,0.04430379746835443,0.015822784810126583,0.0,0.0031645569620253164,118.125,0.9810126582278481,0.015822784810126583,0.0,0.0031645569620253164,49
